total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
3249,3249,1625,0,0,79.00769468,0.448706515,6.037103428,1
4085,4086,2044,0,0,79.03157895,0.147767854,5.99572914,1
5032,5032,2253,0,0,76.38672496,0.230323541,6.239093749,1
2176,2176,1088,0,0,79,0.580738786,6.563871012,1
3277,1675,866,0,1602,110.2331401,0.958574379,6.407490103,1
2409,282,152,0,2127,134.8534662,5.162449572,3.389268032,1
1827,303,155,0,1524,131.6475096,4.03669533,2.079441542,1
3091,425,234,0,2666,133.6855387,4.421325084,3.610917913,1
1822,271,135,0,1551,132.6158068,4.396833195,3.17805383,1
1573,279,160,0,1294,131.4774317,4.327531614,2.63905733,1
1448,249,96,0,1199,130.1823204,3.173768834,1.098612289,1
2173,348,208,0,1824,132.6277036,4.585974301,3.091042453,1
1673,314,142,0,1360,129.8123132,4.059866953,3.204777524,1
1353,228,110,0,1125,131.2357724,4.357670901,2.48490665,1
1719,367,192,0,1352,128.796975,4.321311095,3.454498641,1
1487,347,173,0,1140,127.2817754,4.117833285,3.135494216,1
1376,255,122,0,1121,130.125,3.834091387,2.995732274,1
1952,338,165,0,1614,130.9887295,4.629491035,3.496507561,1
3459,2040,977,0,1419,104.2231859,1.758961357,6.310285028,1
2242,2242,1122,0,0,79.02230152,0.562106342,6.656894048,1
2221,2221,1110,0,0,78.98874381,0.562082797,6.601649721,1
3526,863,459,0,2663,126.9705048,1.094027271,5.976350909,1
2490,217,108,0,2273,136.4995984,0.640483115,3.135494216,1
2053,155,70,0,1898,137.0608865,0.603604087,2.397895273,1
2226,153,84,0,2072,137.7744834,0.648602875,2.540036304,1
2039,164,82,0,1876,137.0024522,0.73832844,3.218875825,1
2434,190,95,0,2244,137.0821693,0.772345106,2.890371758,1
2073,132,57,0,1941,137.7713459,0.66086419,2.48490665,1
1969,126,65,0,1843,138.0192991,0.497845444,1.386294361,1
2249,137,77,0,2112,138.3512672,0.410970125,1.098612289,1
2808,303,158,0,2505,135.3176638,0.566663417,2.48490665,1
2181,182,81,0,1999,136.5135259,0.645072078,2.63905733,1
1670,120,61,0,1550,137.502994,0.610441615,2.890371758,1
1493,98,43,0,1395,137.6637642,0.522946359,1.945910149,1
2267,30,0,0,2237,140.8795765,0.607070138,1.945910149,1
2598,2598,0,0,0,154,0.251699993,5.300342697,1
1844,1844,0,0,0,154,0.362210557,4.892268204,1
2334,2334,0,0,0,154,0.23860049,4.921838217,1
3287,3287,0,0,0,154,0.306653916,5.292536348,1
3884,3884,0,0,0,154,0.284299246,5.720646154,1
2671,2670,0,0,0,153.9423437,0.283750949,5.244562751,1
2050,2051,0,0,0,154.075122,0.240148659,5.864795366,1
2093,2092,0,0,0,153.9264214,0.224682034,5.102193796,1
2306,2307,0,0,0,154.0667823,0.268014721,5.975271763,1
2216,2216,0,0,0,154,0.323005162,5.310812404,1
2012,2012,0,0,0,154,0.231179837,4.856870648,1
2509,2509,0,0,0,154,0.300617877,6.101878692,1
1652,1652,0,0,0,154,0.227915276,4.741639378,1
1470,1470,0,0,0,153.8979592,0.486364741,5.290937751,1
3722,3722,0,0,0,100.5475551,5.560681631,0,1
3304,3304,0,0,0,92.99818402,5.068904202,0,1
2497,2497,0,0,0,92.68642371,5.176149733,0,1
1950,1950,0,0,0,93,4.927253685,0,1
2424,2424,0,0,0,92.57260726,4.844187086,0,1
2734,2734,0,0,0,94.49012436,4.795790546,0,1
2830,2830,0,0,0,93.80565371,4.770684624,0,1
2448,2448,0,0,0,93.11356209,5.204006687,0,1
2317,2317,0,0,0,92.97280967,5.293304825,0,1
2239,2239,0,0,0,93.57123716,4.736198448,0,1
2890,2890,0,0,0,93.96539792,4.804021045,0,1
2937,2937,0,0,0,96.21995233,5.476463552,0,1
2004,2004,0,0,0,92.67265469,5.056245805,0,1
1930,1928,0,1,0,83.21036269,5.311324433,0.061894137,1
284,0,0,276,9,42.88732394,0,3.36729583,1
220,0,0,218,2,42.25454545,0,3.17805383,1
287,0,0,276,11,43.07317073,0,3.526360525,1
175,0,0,168,7,43.12,0,3.091042453,1
177,0,0,172,5,42.79096045,0,3.258096538,1
185,0,0,178,7,43.05945946,0,2.944438979,1
190,0,0,184,6,42.88421053,0,2.079441542,1
166,0,0,161,5,42.84337349,0,1.386294361,1
261,0,0,254,7,42.75095785,0,2.197224577,1
89,0,0,83,6,43.88764045,0,0.693147181,1
108,0,0,102,6,43.55555556,0,1.098612289,1
97,0,0,90,7,44.02061856,0,0.693147181,1
116,0,0,110,6,43.44827586,0,0,1
935,1,1,932,2,42.12620321,0.74660189,5.141663557,1
2691,2691,1689,0,0,85.38238573,0.82666439,5.094052262,1
2782,2782,1408,0,0,79.30553559,0.471690337,5.05308371,1
3149,3149,1579,0,0,79.07145125,0.52318287,5.333878259,1
3724,3725,1991,0,0,80.74650913,0.606443779,5.52085282,1
3429,3428,1687,0,0,78.58326043,0.579371271,6.332535019,1
3688,3689,1594,0,0,75.62527115,0.572515709,5.121436331,1
2231,2231,1116,0,0,79.01120574,0.870470563,4.955574043,1
2273,2273,1136,0,0,78.98900132,0.849197348,5.270022505,1
2278,2278,1139,0,0,79,0.87057467,5.408822109,1
2264,2264,1133,0,0,79.02208481,0.871795361,5.386995906,1
2262,2262,1130,0,0,78.95402299,0.874028154,5.264422145,1
2281,2280,1140,0,0,79.01096011,0.822410779,5.206560051,1
3670,3670,2256,0,0,104.5040872,0.829458307,4.931120919,1
3998,3998,2044,0,0,102.2366183,2.59764877,4.583720212,1
3347,3347,1714,0,0,102.1924111,4.261409666,4.992810255,1
3573,3573,1849,0,0,102.7405542,3.238337059,4.576480505,1
3530,3530,1823,0,0,103.0368272,3.16673877,4.299904445,1
3485,3485,1800,0,0,102.2209469,4.115214403,5.021499345,1
3300,3300,1698,0,0,102.3181818,4.692578189,5.41682829,1
3379,3379,1799,0,0,103.6892572,3.031995816,4.364142077,1
2732,2732,1398,0,0,102.2247438,4.553632397,5.169851924,1
2784,2784,1432,0,0,102.1142241,4.872706344,5.645329777,1
2781,2781,1432,0,0,102.633585,4.329623474,5.208847932,1
2751,2751,1414,0,0,102.1643039,4.215003955,4.890283482,1
2528,2528,1293,0,0,105.1075949,5.014731493,5.144821046,1
2839,2839,1213,0,0,96.79675942,5.707110265,5.693293377,1
3992,3992,0,0,0,154,0.686260929,0.686260929,1
4282,4282,0,0,0,154,0.645710106,0.645710106,1
4170,4170,0,0,0,154,0.639822116,0.639822116,1
4120,4120,0,0,0,154,0.633959127,0.633959127,1
4322,4322,0,0,0,154,0.663654696,0.663654696,1
4133,4133,0,0,0,154,0.647693903,0.647693903,1
4014,4014,0,0,0,154,0.612735445,0.612735445,1
4190,4190,0,0,0,154,0.616680693,0.616680693,1
3860,3860,0,0,0,154,0.602243335,0.602243335,1
3934,3934,0,0,0,154,0.6147757,0.6147757,1
3867,3867,0,0,0,154,0.562335145,0.562335145,1
3924,3924,0,0,0,154,0.620845775,0.620845775,1
3991,3991,0,0,0,154,0.576429848,0.576429848,1
3970,3970,0,0,0,154,0.557056798,0.557056798,1
3970,3970,0,0,0,154,0.598037342,0.598037342,1
4099,4099,0,0,0,154,0.656863298,0.656863298,1
2166,2166,858,0,0,122.1902124,3.828621217,1.536253852,1
2665,2665,965,0,0,119.6660413,5.372966088,1.123931458,1
2836,2836,1423,0,0,108.7602257,5.142119102,0.402198227,1
4187,4187,2194,0,0,106.4002866,6.671974576,0.260777882,1
2213,2213,1146,0,0,105.7849074,6.355977936,0.249506128,1
2135,2135,1120,0,0,106.4590164,6.856213409,0.320459197,1
753,752,129,1,0,71.24833997,2.145841753,0.325082973,1
2015,0,0,2008,7,142.0972705,0.767845068,0,1
1662,0,0,1656,6,142.101083,0.685777062,0,1
2129,0,0,2126,3,142.0263034,0.646380192,0,1
3,0,0,0,3,142,0,0,1
1947,0,0,0,1947,142,0.184690772,0,1
1267,2,2,0,1266,142.0189424,0.456334432,0,1
2784,2784,1626,0,0,112.4051724,0.388348495,0,1
2865,2865,1523,0,0,107.1588133,0.650043989,0,1
4785,4785,2430,0,0,104.7836991,0.659580205,0,1
3415,3414,1646,0,0,102.1991215,0.60308451,0,1
3561,3562,1841,0,0,105.698961,0.586235476,0,1
3091,3091,1496,0,0,102.3985765,0.616564552,0,1
3022,3022,1569,0,0,105.9192588,0.617823541,0,1
3007,3007,1472,0,0,102.9524443,0.622049129,0,1
2462,2462,1211,0,0,103.1876523,0.601432567,0,1
2432,2432,1221,0,0,104.2055921,0.637736086,0,1
3096,3096,1579,0,0,105.001292,0.627660357,0,1
3491,3491,1727,0,0,103.4700659,0.600294829,0,1
3059,3059,1549,0,0,104.6374632,0.640603515,0,1
2048,2047,750,1,0,90.63964844,0.677840592,0.049918014,1
