total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
84,0,0,0,84,98.0,2.2854445571193716,0.0,0
84,0,0,0,84,98.0,2.2879887638875758,0.0,0
86,0,0,0,85,98.0,2.285994687117758,0.0,0
83,0,0,0,83,98.0,2.268021867599577,0.0,0
83,0,0,0,83,98.0,2.2940558025794506,0.0,0
86,0,0,0,86,98.0,2.2938888751948414,0.0,0
82,0,0,0,82,98.0,2.2962442400986145,0.0,0
84,0,0,0,84,98.0,2.263459680260272,0.0,0
86,0,0,0,86,98.0,2.2988874129564207,0.0,0
83,0,0,0,82,96.81927710843374,2.284682055578649,0.0,0
83,0,0,0,84,99.18072289156626,2.2910652930190842,0.0,0
83,0,0,0,84,98.0,2.2808050445709256,0.0,0
84,0,0,0,84,98.0,2.2922040331686673,0.0,0
84,0,0,0,84,98.0,2.280874969170646,0.0,0
84,0,0,0,84,98.0,2.2930250769139713,0.0,0
84,0,0,0,84,98.0,2.2828806339491456,0.0,0
84,0,0,0,84,98.0,2.2961399581098374,0.0,0
83,0,0,0,83,98.0,2.283286664121807,0.0,0
84,0,0,0,84,98.0,2.288826337731014,0.0,0
85,0,0,0,85,98.0,2.3012340044175716,0.0,0
84,0,0,0,84,98.0,2.270582204739644,0.0,0
84,0,0,0,84,98.0,2.288639219516842,0.0,0
83,0,0,0,83,98.0,2.288826337731014,0.0,0
89,0,0,0,88,98.0,2.300027795721303,0.0,0
81,0,0,0,81,98.0,2.2718794935950655,0.0,0
85,0,0,0,85,98.0,2.2812426340841916,0.0,0
80,0,0,0,80,98.0,2.296244240098615,0.0,0
84,0,0,0,84,98.0,2.2763676105615707,0.0,0
86,0,0,0,86,98.0,2.288233642405828,0.0,0
83,0,0,0,83,98.0,2.284953867555143,0.0,0
83,0,0,0,83,98.0,2.2910652930190842,0.0,0
